B0CL5FT5C3$The Ministry of Time: A Novel$Kaliane Bradley$May 7, 2024$"$28.99"$"$14.99"$4.1$6,566 ratings$344 pages$English$Avid Reader Press / Simon & Schuster (May 7, 2024)$Andrew Barber$5.0 out of 5 stars$An excellent novel of time travel, government intrigue, and a historical figure.$Reviewed in the United States on September 5, 2024
B07XBGJKHQ$Zodiac Academy 3: The Reckoning$Caroline Peckham$October 4, 2019$"$18.24"$"$6.99"$4.6$50,989 ratings$562 pages$English$Dark Ink Publishing (October 4, 2019)$Leesh$5.0 out of 5 stars$It’s on now$Reviewed in the United States on May 16, 2024
B0CMQ8XDNY$Hard to Kill: Meet James Patterson's Greatest Character Yet (A Jane Smith Thriller Book 2)$James Patterson$July 29, 2024$"$30.00"$"$14.99"$4.2$4,935 ratings$371 pages$English$Little, Brown and Company (July 29, 2024)$DPT$5.0 out of 5 stars$A masterpiece$Reviewed in the United States on September 29, 2024
B07FCF2GYW$The Last Letter$Rebecca Yarros$February 26, 2019$$"$9.99"$4.7$42,087 ratings$434 pages$English$Entangled: Amara; Reprint edition (February 26, 2019)$Kris$5.0 out of 5 stars$Beautiful but wrecked me.$Reviewed in the United States on September 3, 2024
B07QPHT8CB$The House in the Cerulean Sea (Cerulean Chronicles Book 1)$TJ Klune$March 17, 2020$"$18.99"$"$12.99"$4.6$55,934 ratings$393 pages$English$Tor Books (March 17, 2020)$Dream a Beautiful Life$5.0 out of 5 stars$A Unexpectedly Unique and Fabulous Read$Reviewed in the United States on August 24, 2024
B0CHS9CQT8$Zodiac Academy 9: Restless Stars$Caroline Peckham$April 23, 2024$"$29.99"$"$8.99"$4.6$12,940 ratings$1153 pages$English$Dark Ink Publishing (April 23, 2024)$Morgen Frances$5.0 out of 5 stars$A beautiful end.$Reviewed in the United States on September 6, 2024
B09NGPJ36S$Zodiac Academy 8: Sorrow and Starlight$Caroline Peckham$December 11, 2022$"$30.24"$"$8.99"$4.4$26,206 ratings$1244 pages$English$Amazon Digital Services (December 11, 2022)$Taylor$5.0 out of 5 stars$A Triumph in the series!$Reviewed in the United States on January 9, 2023
B09Y45FSLD$Weyward: A Novel$Emilia Hart$March 7, 2023$"$17.99"$"$1.99"$4.4$34,734 ratings$408 pages$English$St. Martin's Press (March 7, 2023)$Kristina$5.0 out of 5 stars$Excellent$Reviewed in the United States on August 11, 2024
B0BZCNGDBG$Glow of the Everflame: The Kindred's Curse Saga, Book Two$Penn Cole$July 18, 2023$"$29.99"$"$5.99"$4.6$23,452 ratings$637 pages$English$(July 18, 2023)$Natalie$5.0 out of 5 stars$Obsessed with this story!$Reviewed in the United States on September 5, 2024
B09MH8K8W2$The Very Secret Society of Irregular Witches$Sangu Mandanna$August 23, 2022$"$17.00"$"$11.99"$4.4$18,076 ratings$334 pages$English$Berkley (August 23, 2022)$Kate Gamble$5.0 out of 5 stars$Absolutely LOVED this book!!!$Reviewed in the United States on September 11, 2024
B0BG1HTVPD$The Only One Left: A Novel$Riley Sager$June 20, 2023$"$18.00"$"$12.99"$4.4$28,781 ratings$398 pages$English$Dutton (June 20, 2023)$Carmen Aiello Schmidt$5.0 out of 5 stars$Buy this book!$Reviewed in the United States on September 16, 2024
